narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
1543,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,430,1311,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
1544,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,1312,1499,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
1545,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,1500,2203,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
1546,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,2204,2400,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
1547,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,2401,2644,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
1548,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,2645,3195,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
1549,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,3196,3466,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
1550,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,3467,3614,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
1551,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,3615,3825,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
1552,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,3826,4447,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
1553,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,4448,4715,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
1554,R0-P21,R0-P21_04,00:00:00.000,00:00:00.000,00:00:00.000,4716,4759,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
1555,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,0,85,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
1556,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,86,584,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
1557,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,585,686,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
1558,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,687,1345,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
1559,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,1346,3667,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.","4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"['4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.']",[17]
1560,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,3668,6037,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
1561,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,6038,7697,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
1562,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,7698,8390,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
1563,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,8391,10387,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
1564,R1-P07,R1-P07_09,00:00:00.000,00:00:00.000,00:00:00.000,10388,10486,9. end.,9. end.,1,9. end.,1,['9. end.'],[1]
1565,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,0,518,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
1566,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,519,2220,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.,14,['1. Measure 12 ounces of cold water and transfer to a kettle. Boil the water.'],[14]
1567,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,2221,2638,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.","2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.",15,"['2. While the water is boiling, assemble the filter cone. Place the dripper on top of a coffee mug.']",[15]
1568,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,2639,3131,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone","3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone",16,"['3. Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. Place the paper filter in the dripper and spread open to create a cone']",[16]
1569,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,3132,6008,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.","4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.",17,"['4. Weigh the coffee beans and grind until the coffee grounds are the consistency of course sand, about 20 seconds. Transfer the grounds to the filter cone.']",[17]
1570,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,6009,8832,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.","5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.",18,"['5. Once the water has boiled, check the temperature. The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.']",[18]
1571,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,8833,9679,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.","6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.",19,"['6. Pour a small amount of water in the filter to wet the grounds. Wait for coffee to bloom, about 30 seconds. You will see small bubbles or foam on the coffee grounds during this step.']",[19]
1572,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,9680,12154,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.,20,['7. Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.'],[20]
1573,R1-P14,R1-P14_15,00:00:00.000,00:00:00.000,00:00:00.000,12155,12925,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.,21,['8. Let the coffee drain completely into the mug before removing the dripper. Discard the paper filter and coffee grounds.'],[21]
1574,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,0,167,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
1575,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,168,286,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
1576,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,287,1485,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
1577,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,1486,1665,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
1578,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,1666,2564,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
1579,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,2565,2724,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
1580,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,2725,3127,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
1581,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,3128,3577,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
1582,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,3578,3996,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
1583,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,3997,4227,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
1584,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,4228,4372,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
1585,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,4373,5299,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
1586,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,5300,5531,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
1587,R0-P02,R0-P02_03,00:00:00.000,00:00:00.000,00:00:00.000,5532,5670,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
1588,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,0,30,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
1589,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,31,57,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
1590,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,58,1340,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
1591,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,1341,1438,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
1592,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,1439,2013,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
1593,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,2014,2168,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
1594,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,2169,2400,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
1595,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,2401,2658,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
1596,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,2659,2930,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
1597,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,2931,3118,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.","9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.",10,"['9. Slide floss under the tortilla, perpendicular to the length of the roll. Place the floss halfway between two toothpicks.']",[10]
1598,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,3119,3270,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.","10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.",11,"['10. Cross the two ends of the floss over the top of the tortilla roll. Holding one end of the floss in each hand, pull the floss ends in opposite directions to slice.']",[11]
1599,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,3271,3798,11. Continue slicing with floss to create 5 pinwheels.,11. Continue slicing with floss to create 5 pinwheels.,12,11. Continue slicing with floss to create 5 pinwheels.,12,['11. Continue slicing with floss to create 5 pinwheels.'],[12]
1600,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,3799,4006,12. Place the pinwheels on a plate.,12. Place the pinwheels on a plate.,13,12. Place the pinwheels on a plate.,13,['12. Place the pinwheels on a plate.'],[13]
1601,R0-P18,R0-P18_13,00:00:00.000,00:00:00.000,00:00:00.000,4007,4066,13. end.,13. end.,1,13. end.,1,['13. end.'],[1]
1602,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,0,568,0. start.,0. start.,0,0. start.,0,['0. start.'],[0]
1603,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,569,828,1. Place tortilla on cutting board.,1. Place tortilla on cutting board.,2,1. Place tortilla on cutting board.,2,['1. Place tortilla on cutting board.'],[2]
1604,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,829,1798,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.","2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.",3,"['2. Use a butter knife to scoop nut butter from the jar. Spread nut butter onto tortilla, leaving 1/2 inch uncovered at the edges.']",[3]
1605,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,1799,2006,3. Clean the knife by wiping with a paper towel.,3. Clean the knife by wiping with a paper towel.,4,3. Clean the knife by wiping with a paper towel.,4,['3. Clean the knife by wiping with a paper towel.'],[4]
1606,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,2007,2643,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.,5,['4. Use the knife to scoop jelly from the jar. Spread jelly over the nut butter.'],[5]
1607,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,2644,2849,5. Clean the knife by wiping with a paper towel.,5. Clean the knife by wiping with a paper towel.,6,5. Clean the knife by wiping with a paper towel.,6,['5. Clean the knife by wiping with a paper towel.'],[6]
1608,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,2850,3267,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.","6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.",7,"['6. Roll the tortilla from one end to the other into a log shape, about 1.5 inches thick. Roll it tight enough to prevent gaps, but not so tight that the filling leaks.']",[7]
1609,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,3268,3727,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.,8,['7. Secure the rolled tortilla by inserting 5 toothpicks about 1 inch apart.'],[8]
1610,R0-P19,R0-P19_01,00:00:00.000,00:00:00.000,00:00:00.000,3728,4200,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.","8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.",9,"['8. Trim the ends of the tortilla roll with the butter knife, leaving 1/2 inch margin between the last toothpick and the end of the roll. Discard ends.']",[9]
